	N0004	N0031	N0052	N0054	N0072	N0091	N0136	N0145	N0153	N0155	N0157	N1063	N1176	N1177	N1202	N1216	N1272	N1274	N1283
N0004	0	1166	1162	390	1850	2071	1213	1139	1796	1109	1768	1921	1926	2057	2008	1183	1956	356	1200
N0031	1166	0	866	1199	1844	2120	1254	230	1776	240	1749	1955	1978	2107	2062	1241	1986	1202	1258
N0052	1162	866	0	1193	1834	2104	1246	234	1786	246	1748	1948	1965	2083	2036	1218	1976	1188	1244
N0054	390	1199	1193	0	1881	2053	1219	1169	1829	1148	1801	1918	1903	2033	1978	1160	1944	383	1206
N0072	1850	1844	1834	1881	0	2054	1837	1840	812	1859	919	1916	1921	2032	1987	1778	1941	1882	1815
N0091	2071	2120	2104	2053	2054	0	1978	2081	2011	2032	1979	1970	1979	714	308	1967	1924	2040	1958
N0136	1213	1254	1246	1219	1837	1978	0	1221	1786	1189	1749	1840	1835	1948	1898	765	1864	1173	786
N0145	1139	230	234	1169	1840	2081	1221	0	1773	207	1745	1916	1936	2065	2020	1199	1951	1159	1219
N0153	1796	1776	1786	1829	812	2011	1786	1773	0	1793	293	1878	1863	1982	1923	1706	1903	1831	1758
N0155	1109	240	246	1148	1859	2032	1189	207	1793	0	1766	1893	1885	1999	1945	1135	1917	1144	1187
N0157	1768	1749	1748	1801	919	1979	1749	1745	293	1766	0	1842	1823	1944	1899	1685	1861	1798	1732
N1063	1921	1955	1948	1918	1916	1970	1840	1916	1878	1893	1842	0	436	1952	1899	1838	461	1886	1775
N1176	1926	1978	1965	1903	1921	1979	1835	1936	1863	1885	1823	436	0	1964	1929	1821	237	1898	1806
N1177	2057	2107	2083	2033	2032	714	1948	2065	1982	1999	1944	1952	1964	0	352	1937	1897	2025	1938
N1202	2008	2062	2036	1978	1987	308	1898	2020	1923	1945	1899	1899	1929	352	0	1882	1846	1982	1877
N1216	1183	1241	1218	1160	1778	1967	765	1199	1706	1135	1685	1838	1821	1937	1882	0	1862	1146	753
N1272	1956	1986	1976	1944	1941	1924	1864	1951	1903	1917	1861	461	237	1897	1846	1862	0	1921	1815
N1274	356	1202	1188	383	1882	2040	1173	1159	1831	1144	1798	1886	1898	2025	1982	1146	1921	0	1165
N1283	1200	1258	1244	1206	1815	1958	786	1219	1758	1187	1732	1775	1806	1938	1877	753	1815	1165	0
